Date,Open,High,Low,Close,Adj Close,Volume
2017-11-29,87.520660,88.223137,87.066116,87.107437,76.849609,1045898
2017-11-30,87.024796,87.975204,86.776855,86.900826,76.667320,2011795
2017-12-01,86.818184,86.900826,85.165291,85.289253,75.245529,1632561
2017-12-04,86.115700,87.644630,85.909088,87.438019,77.141266,1124445
2017-12-05,87.396690,88.347107,86.735535,88.140495,77.761009,999031
2017-12-06,87.479340,89.008263,87.066116,88.842972,78.380760,1208983
2017-12-07,88.760330,89.545456,88.223137,88.719009,78.271400,1191593
2017-12-08,88.884300,89.504135,88.760330,89.132233,78.635956,1078273
2017-12-11,89.752068,90.000000,88.677689,88.719009,78.271400,806847
2017-12-12,88.966942,89.338844,88.264465,89.338844,78.818237,871439
2017-12-13,89.297523,89.669418,88.925621,89.173553,78.672409,1197850
2017-12-14,89.421486,89.504135,88.264465,88.471077,78.052673,1028656
2017-12-15,88.264465,89.710747,87.933884,89.586777,79.036972,2415266
2017-12-18,90.000000,90.371902,89.214874,89.834709,79.255707,1408170
2017-12-19,89.586777,89.958679,88.801651,89.090912,78.599510,832035
2017-12-20,89.132233,89.380165,87.975204,88.347107,77.943298,761993
2017-12-21,87.644630,88.512398,87.272728,88.429749,78.016197,1113427
2017-12-22,87.892563,88.388428,87.727272,88.057854,77.688103,613532
2017-12-27,87.892563,88.553719,87.768593,88.181816,77.797470,609235
2017-12-28,88.347107,88.388428,87.314049,87.479340,77.177704,623682
2017-12-29,87.438019,87.809914,86.818184,86.818184,76.594414,814046
2018-01-02,86.776855,86.859505,85.826447,86.363632,76.193398,1121459
2018-01-03,86.363632,87.561981,86.363632,87.024796,76.776703,974525
2018-01-04,87.479340,89.462807,87.479340,89.008263,78.526588,1192585
2018-01-05,88.925621,89.752068,88.925621,89.752068,79.182808,964155
2018-01-08,90.495865,90.826447,90.330582,90.743797,80.057739,1109250
2018-01-09,90.413223,90.909088,90.289253,90.826447,80.130669,1101152
2018-01-10,90.578514,90.867767,89.421486,89.710747,79.146339,1039191
2018-01-11,89.669418,89.793388,88.305786,88.512398,78.089111,1527168
2018-01-12,88.760330,89.173553,88.388428,89.090912,78.599510,839110
2018-01-15,89.090912,89.793388,88.801651,89.338844,78.818237,839023
2018-01-16,89.462807,90.123962,89.173553,89.586777,79.036972,987451
2018-01-17,89.256195,90.413223,89.008263,90.000000,79.401543,1250285
2018-01-18,90.000000,90.743797,89.834709,90.743797,80.057739,974720
2018-01-19,90.206612,90.702477,89.958679,90.082642,79.474449,1492082
2018-01-22,90.000000,90.619835,89.958679,90.247932,79.620277,778941
2018-01-23,90.826447,90.909088,89.462807,89.752068,79.182808,856488
2018-01-24,89.586777,89.917358,88.884300,88.884300,78.417229,967238
2018-01-25,89.090912,90.123962,88.719009,89.710747,79.146339,1350396
2018-01-26,89.628098,90.165291,89.504135,89.958679,79.365089,786382
2018-01-29,89.876030,90.578514,89.710747,90.165291,79.547363,652542
2018-01-30,89.504135,90.247932,89.008263,89.380165,78.854698,933135
2018-01-31,89.752068,90.123962,89.504135,89.710747,79.146339,873722
2018-02-01,90.082642,90.578514,88.016525,88.388428,77.979744,1409728
2018-02-02,88.099174,88.140495,86.322311,86.322311,76.156937,1448705
2018-02-05,86.074379,86.157021,85.165291,85.289253,75.245529,1314838
2018-02-06,82.644630,84.917358,82.429749,83.677689,73.823753,3042741
2018-02-07,84.462807,85.578514,83.801651,85.082642,75.063255,1782317
2018-02-08,84.545456,84.545456,82.066116,82.512398,72.795685,2105723
2018-02-09,82.231407,82.768593,80.512398,80.942146,71.410347,2133009
2018-02-12,82.314049,82.851242,81.636360,81.636360,72.022812,1625152
2018-02-13,81.603302,82.148758,80.842972,80.991737,71.454094,1541092
2018-02-14,81.404961,82.016525,80.297523,81.487602,71.891563,2047007
2018-02-15,83.016525,84.462807,82.644630,83.471077,73.641472,1830389
2018-02-16,84.132233,84.793388,83.842972,84.297523,74.370590,1574109
2018-02-19,84.752068,84.876030,84.008263,84.132233,74.224762,915455
2018-02-20,84.008263,84.752068,84.008263,84.380165,74.443497,1133740
2018-02-21,84.297523,84.710747,83.677689,84.297523,74.370590,1226354
2018-02-22,83.719009,85.413223,83.305786,85.082642,75.063255,1269600
2018-02-23,85.454544,85.495865,84.710747,85.000000,74.990341,1053031
2018-02-26,85.537193,85.826447,84.834709,85.330582,75.281998,978575
2018-02-27,85.413223,85.785126,85.082642,85.413223,75.354904,1079482
2018-02-28,85.082642,85.867767,84.917358,85.247932,75.209068,1075063
2018-03-01,84.958679,85.371902,83.801651,84.008263,74.115395,1709383
2018-03-02,83.305786,83.760330,82.115700,82.330582,72.635269,1619496
2018-03-05,82.181816,83.512398,82.132233,83.264465,73.459190,1311794
2018-03-06,83.801651,84.214874,82.851242,82.851242,73.094620,1289355
2018-03-07,82.685951,84.049583,82.380165,83.884300,74.006027,1111153
2018-03-08,83.801651,85.578514,83.677689,85.454544,75.391357,1144385
